 OTUID	ACK1	ACK2	ACK3	AP1	AP2	AP3	BCK1	BCK2	BCK3	BP1	BP2	BP3
Zotu497	0	3	0	0	0	0	0	0	0	0	0	0
Zotu145	0	7	2	0	10	8	0	2	229	3	3	2
Zotu713	0	3	0	0	1	7	1	9	0	0	0	0
Zotu833	0	3	0	0	0	0	0	0	0	0	5	0
Zotu225	0	6	0	0	1	0	0	15	0	13	17	16
Zotu404	0	6	0	0	0	0	0	0	0	0	0	0
Zotu215	0	3	0	1	21	11	3	0	0	6	0	9
Zotu774	0	1	0	1	3	0	0	0	0	0	0	0
Zotu512	0	3	0	0	0	0	0	0	0	0	0	0
Zotu371	0	9	0	3	0	4	0	2	0	1	0	1
Zotu191	0	9	4	4	8	83	0	2	0	0	0	0
Zotu667	0	2	0	0	0	3	0	0	0	0	0	0
Zotu264	0	1	0	85	15	19	0	0	0	1	3	0
Zotu387	0	2	0	0	0	0	0	0	0	0	0	0
Zotu628	0	4	0	0	0	0	0	0	0	0	0	0
Zotu252	0	5	0	0	0	0	2	6	0	1	45	1
Zotu400	0	3	0	7	7	5	1	0	0	5	2	6
Zotu934	0	7	0	2	1	0	0	10	3	2	0	4
Zotu516	0	4	0	0	0	3	0	4	0	2	0	4
Zotu358	0	3	1	0	0	0	0	0	0	0	0	0
Zotu238	0	2	0	0	3	0	0	43	1	0	0	1
Zotu664	0	5	0	0	0	0	0	0	0	0	0	0
Zotu165	0	5	0	0	19	3	0	13	196	2	6	6
Zotu779	0	3	0	0	0	0	0	0	0	0	0	0
Zotu839	0	6	2	4	0	0	0	1	0	0	0	0
Zotu396	0	8	0	0	0	0	0	0	0	0	0	0
Zotu258	0	5	0	0	3	14	2	4	1	0	0	0
Zotu291	0	5	1	0	2	1	3	10	0	3	14	2
Zotu736	0	1	0	0	0	0	0	0	0	0	0	0
Zotu401	0	5	1	0	7	0	0	1	13	0	0	7
Zotu937	0	0	0	0	0	0	0	0	0	0	6	0
Zotu699	0	2	0	0	0	0	0	0	0	0	0	0
Zotu697	0	2	0	0	0	0	0	0	0	0	0	0
Zotu868	0	2	0	0	0	0	0	0	3	0	0	0
Zotu900	0	1	0	0	0	0	0	0	0	2	0	0
Zotu474	0	2	0	0	0	5	0	0	0	0	0	0
Zotu346	0	2	1	5	0	1	10	0	0	3	0	4
Zotu633	0	2	0	0	0	0	0	2	0	0	0	0
Zotu776	0	2	0	0	1	1	1	2	0	0	0	0
Zotu704	0	1	0	0	0	0	0	0	0	0	0	0
Zotu775	0	1	0	6	0	3	2	3	0	1	0	1
Zotu974	0	1	0	0	0	2	0	2	0	0	0	0
Zotu208	0	16	1	0	16	15	1	2	0	0	0	0
Zotu693	0	3	0	2	0	0	0	19	8	2	2	5
Zotu239	0	2	0	0	0	0	1	11	3	7	5	17
Zotu587	0	2	0	0	0	0	0	0	0	0	0	0
Zotu411	0	0	0	9	1	9	4	5	1	0	0	0
Zotu449	0	2	0	2	10	9	0	0	0	0	0	1
Zotu272	0	2	0	0	2	1	1	1	13	10	13	8
Zotu710	0	1	0	0	0	0	0	0	0	0	0	0
Zotu662	0	3	0	0	0	0	0	0	0	0	0	0
Zotu682	0	1	0	0	0	0	0	0	0	0	0	0
Zotu389	0	5	0	0	0	0	0	2	0	1	0	0
Zotu553	0	3	0	0	0	0	0	0	0	3	0	0
Zotu956	0	2	0	0	0	0	0	0	0	0	0	0
Zotu267	0	1	0	3	6	9	0	38	0	0	0	1
Zotu935	0	2	0	0	0	0	1	0	0	6	0	3
Zotu772	0	1	0	0	0	0	0	0	0	0	0	0
Zotu941	0	3	0	0	0	0	3	0	0	0	0	1
Zotu527	0	1	0	0	0	0	0	9	0	0	0	0
Zotu487	0	0	0	0	0	7	0	0	10	0	0	0
Zotu555	0	3	0	0	0	0	0	1	0	0	0	0
Zotu240	0	2	64	11	4	2	3	0	0	0	1	0
Zotu690	0	1	0	0	0	0	0	0	0	0	0	0
Zotu978	0	0	0	1	2	3	0	1	0	3	0	1
Zotu750	0	1	0	0	0	0	0	1	3	0	1	0
Zotu390	0	6	0	0	0	0	0	0	0	0	0	0
Zotu489	0	3	0	0	0	0	0	0	0	0	0	0
Zotu244	0	6	3	13	7	2	3	1	3	0	1	0
Zotu726	0	4	0	0	1	0	0	0	0	0	2	1
Zotu753	0	0	1	5	3	0	9	1	0	3	0	0
Zotu754	0	2	0	0	0	0	0	0	0	0	0	0
Zotu665	0	2	0	0	0	0	0	0	0	0	0	0
Zotu719	0	1	0	0	0	2	5	1	0	0	0	0
Zotu565	0	3	0	0	0	0	0	0	0	0	0	0
Zotu359	0	0	0	1	2	0	4	2	0	0	0	2
Zotu572	0	3	0	0	0	0	0	2	0	0	0	1
Zotu564	0	6	0	0	0	0	0	0	0	0	0	0
Zotu353	0	3	0	16	5	16	0	0	1	0	0	0
Zotu725	0	1	0	0	0	3	0	0	0	0	0	0
Zotu607	0	0	0	2	4	0	0	2	0	0	0	1
Zotu523	0	4	0	1	3	3	3	0	0	2	0	0
Zotu466	0	4	1	0	1	0	0	0	0	0	0	0
Zotu304	0	4	3	7	3	2	0	3	0	1	0	0
Zotu469	0	2	0	2	0	7	0	4	1	0	0	0
Zotu787	0	2	0	0	0	0	0	0	0	7	0	0
Zotu631	0	1	0	0	0	0	0	0	0	0	0	0
